Spring 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Generated 5/5/2023, 2:12:22 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Term,Term Code,Department Code,Subject Code,Catalog Number,Course,Section #,Course Title,Section Type,Title/Topic,Meeting Pattern,Meetings,Instructor,Room,Status,Session,Campus,Inst. Method,Integ. Partner,Schedule Print,Consent,Credit Hrs Min,Credit Hrs,Grade Mode,Attributes,Course Attributes,Room Attributes,Enrollment,Maximum Enrollment,Prior Enrollment,Projected Enrollment,Wait Cap,Rm Cap Request,Cross-listings,Cross-list Maximum,Cross-list Projected,Cross-list Wait Cap,Cross-list Rm Cap Request,Link To,Comments,Notes#1,Notes#2
CIVE 863 - TRAFFIC ENGINEERING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spring 2023,1231,UNO-CIVE,CIVE,863,CIVE 863,1,TRAFFIC ENGINEERING,Lecture,,MW 10:30am-11:45am,MW 10:30am-11:45am,"Yates, Austin (26823832) [Primary Instructor, Post, Print]; Moussavi, Massoum (80060047) [Secondary Instructor, Post, Print]",,Active,Regular Academic Session,UNO Engineering,Distance Education,,Yes,No Special Consent Required,3,3,Graded,,,,1,20,,,0,20,See CIVE 463-820,50,,0,50,,,,
,Spring 2023,1231,UNO-CIVE,CIVE,863,CIVE 863,820,TRAFFIC ENGINEERING,Lecture,,MW 10:30am-11:45am,MW 10:30am-11:45am,"Yates, Austin (26823832) [Primary Instructor, Post, Print]; Moussavi, Massoum (80060047) [Secondary Instructor, Post, Print]",,Active,Regular Academic Session,UNO Engineering,Distance Education,,Yes,No Special Consent Required,3,3,Graded,Remote Learning: Remote Learning,,,0,0,,,0,0,See CIVE 463-820,50,,0,50,,,Taught by closed circuit TV and discussion.,
CIVE 864 - ANALYSIS AND ESTIMATION OF TRANSPORTATION DEMAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spring 2023,1231,UNO-CIVE,CIVE,864,CIVE 864,1,ANALYSIS AND ESTIMATION OF TRANSPORTATION DEMAND,Lecture,,TR 1:30pm-2:45pm,TR 1:30pm-2:45pm,"Hawkins, Jason (41291179) [Primary Instructor, Post, Print]",,Active,Regular Academic Session,UNO Engineering,In Person,,Yes,No Special Consent Required,3,3,Graded,,,,0,20,,,0,20,Also CIVE 864-820,20,,0,20,,"DONE, AMJ - PKI 161",,
,Spring 2023,1231,UNO-CIVE,CIVE,864,CIVE 864,820,ANALYSIS AND ESTIMATION OF TRANSPORTATION DEMAND,Lecture,,TR 1:30pm-2:45pm,TR 1:30pm-2:45pm,"Hawkins, Jason (41291179) [Primary Instructor, Post, Print]",,Active,Regular Academic Session,UNO Engineering,In Person,,Yes,No Special Consent Required,3,3,Graded,Remote Learning: Remote Learning,,,0,0,,,0,0,See CIVE 864-001,20,,0,20,,"DONE, AMJ - PKI 161",,
CIVE 872 - PAVEMENT DESIGN AND EVALUATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spring 2023,1231,UNO-CIVE,CIVE,872,CIVE 872,1,PAVEMENT DESIGN AND EVALUATION,Lecture,,TR 12pm-1:15pm,TR 12pm-1:15pm,"Sudo Lutif Teixeira, Jamilla (92959492) [Primary Instructor, Post, Print]",,Active,Regular Academic Session,UNO Engineering,In Person,,Yes,No Special Consent Required,3,3,Graded,,,,1,10,,,0,30,See CIVE 472-001,30,,0,30,,,,
,Spring 2023,1231,UNO-CIVE,CIVE,872,CIVE 872,820,PAVEMENT DESIGN AND EVALUATION,Lecture,,TR 12pm-1:15pm,TR 12pm-1:15pm,"Sudo Lutif Teixeira, Jamilla (92959492) [Primary Instructor, Post, Print]",,Active,Regular Academic Session,UNO Engineering,In Person,,Yes,No Special Consent Required,3,3,Graded,Remote Learning: Remote Learning,,,0,0,,,0,0,See CIVE 472-001,30,,0,30,,,,
CIVE 891 - SPECIAL TOPICS IN CIVIL ENGINEERING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
